timestamp,event,kind,key
2025-09-25T00:04:42.128621,press,char,u
2025-09-25T00:04:42.249421,press,char,a
2025-09-25T00:04:42.379618,press,char,l
2025-09-25T00:04:42.536547,press,char,t
2025-09-25T00:04:42.619941,press,char,i
2025-09-25T00:04:42.781017,press,char,o
2025-09-25T00:04:42.878825,press,char,n
2025-09-25T00:04:43.012516,press,special,Key.enter
2025-09-25T00:05:24.926099,press,char,x
2025-09-25T00:05:25.072777,press,char,k
2025-09-25T00:05:25.144396,press,char,x
2025-09-25T00:05:25.325577,press,char,k
2025-09-25T00:05:25.361176,press,char,x
2025-09-25T00:05:25.524972,press,char,k
2025-09-25T00:05:25.554430,press,char,x
2025-09-25T00:05:25.704243,press,char,k
2025-09-25T00:05:25.735453,press,char,c
2025-09-25T00:05:25.873611,press,char,k
2025-09-25T00:05:25.918746,press,char,c
2025-09-25T00:05:26.068128,press,char,k
2025-09-25T00:05:26.146464,press,char,r
2025-09-25T00:05:26.792367,press,char,f
2025-09-25T00:05:26.859491,press,char,d
2025-09-25T00:05:26.885056,press,char,e
2025-09-25T00:05:26.982122,press,char,f
2025-09-25T00:05:27.264201,press,char,s
2025-09-25T00:05:43.593344,press,char,a
2025-09-25T00:05:43.800627,press,char,d
2025-09-25T00:05:43.975821,press,char,m
2025-09-25T00:05:44.199014,press,char,i
2025-09-25T00:05:44.325969,press,char,n
2025-09-25T00:05:46.051331,press,char,p
2025-09-25T00:05:46.177914,press,char,a
2025-09-25T00:05:46.738045,press,char,s
2025-09-25T00:05:46.973174,press,char,s
2025-09-25T00:05:47.261539,press,char,w
2025-09-25T00:05:47.396473,press,char,o
2025-09-25T00:05:47.542824,press,char,r
2025-09-25T00:05:47.786488,press,char,d
2025-09-25T00:05:48.177102,press,char,1
2025-09-25T00:05:48.300710,press,char,2
2025-09-25T00:05:48.519968,press,char,3
2025-09-25T00:05:48.785825,press,special,Key.shift_r
2025-09-25T00:05:49.451294,press,special,Key.enter
2025-09-25T00:06:11.463439,press,char,g
2025-09-25T00:06:11.626098,press,char,i
2025-09-25T00:06:11.777762,press,char,e
2025-09-25T00:06:11.790541,press,char,v
2025-09-25T00:06:11.949454,press,special,Key.space
2025-09-25T00:06:12.050357,press,char,t
2025-09-25T00:06:12.169677,press,char,h
2025-09-25T00:06:12.236950,press,char,e
2025-09-25T00:06:12.369287,press,special,Key.space
2025-09-25T00:06:12.969790,press,char,u
2025-09-25T00:06:13.198796,press,char,p
2025-09-25T00:06:13.354171,press,char,d
2025-09-25T00:06:13.402983,press,char,a
2025-09-25T00:06:13.660050,press,char,t
2025-09-25T00:06:13.703012,press,char,e
2025-09-25T00:06:14.036779,press,char,d
2025-09-25T00:06:14.254583,press,special,Key.space
2025-09-25T00:06:14.718870,press,char,f
2025-09-25T00:06:14.854183,press,char,l
2025-09-25T00:06:14.951797,press,char,a
2025-09-25T00:06:15.082381,press,char,s
2025-09-25T00:06:15.259350,press,char,k
2025-09-25T00:06:15.486566,press,special,Key.space
2025-09-25T00:06:15.524121,press,char,a
2025-09-25T00:06:15.718261,press,char,n
2025-09-25T00:06:15.825758,press,char,f
2025-09-25T00:06:15.953016,press,special,Key.space
2025-09-25T00:06:16.214522,press,special,Key.backspace
2025-09-25T00:06:16.399498,press,special,Key.backspace
2025-09-25T00:06:16.444194,press,char,d
2025-09-25T00:06:16.578698,press,special,Key.space
2025-09-25T00:06:16.903602,press,char,s
2025-09-25T00:06:17.065746,press,char,l
2025-09-25T00:06:17.155290,press,char,e
2025-09-25T00:06:17.288912,press,char,l
2025-09-25T00:06:17.321865,press,char,e
2025-09-25T00:06:17.489339,press,char,c
2025-09-25T00:06:17.721820,press,char,t
2025-09-25T00:06:17.771869,press,char,i
2025-09-25T00:06:17.969807,press,char,o
2025-09-25T00:06:18.050406,press,char,n
2025-09-25T00:06:18.230997,press,special,Key.enter
2025-09-25T00:06:48.234729,press,special,Key.ctrl_l
2025-09-25T00:06:48.534792,press,char,
2025-09-25T00:06:48.869153,press,special,Key.ctrl_l
2025-09-25T00:06:49.348064,press,char,
2025-09-25T00:06:49.994859,press,special,Key.ctrl_l
2025-09-25T00:06:50.753429,press,char,
2025-09-25T00:06:52.133290,press,special,Key.ctrl_l
2025-09-25T00:06:52.407035,press,char,
2025-09-25T00:07:02.741164,press,special,Key.ctrl_l
2025-09-25T00:07:03.013313,press,char,
2025-09-25T00:07:03.342800,press,special,Key.ctrl_l
2025-09-25T00:07:04.275846,press,char,
2025-09-25T00:07:04.778094,press,special,Key.ctrl_l
2025-09-25T00:07:05.436656,press,char,
2025-09-25T00:07:10.198655,press,special,Key.ctrl_l
2025-09-25T00:07:10.669737,press,char,
2025-09-25T00:07:16.239781,press,special,Key.ctrl_l
2025-09-25T00:07:16.825223,press,char,
2025-09-25T00:07:35.145091,press,char,s
2025-09-25T00:07:35.394063,press,char,e
2025-09-25T00:07:35.489950,press,char,l
2025-09-25T00:07:35.601900,press,char,e
2025-09-25T00:07:35.791111,press,char,c
2025-09-25T00:07:36.040477,press,char,t
2025-09-25T00:07:36.118656,press,char,i
2025-09-25T00:07:36.302407,press,char,o
2025-09-25T00:07:36.397360,press,char,n
2025-09-25T00:07:37.277433,press,special,Key.ctrl_l
2025-09-25T00:07:37.607963,press,char,
2025-09-25T00:08:03.241818,press,special,Key.ctrl_l
2025-09-25T00:08:03.542807,press,char,
2025-09-25T00:08:03.849780,press,special,Key.ctrl_l
2025-09-25T00:08:04.125599,press,char,
2025-09-25T00:08:07.608333,press,special,Key.ctrl_l
2025-09-25T00:08:07.931956,press,char,
2025-09-25T00:08:08.380151,press,special,Key.space
2025-09-25T00:08:08.518848,press,special,Key.space
2025-09-25T00:08:08.785483,press,char,c
2025-09-25T00:08:08.924429,press,char,h
2025-09-25T00:08:08.998002,press,char,a
2025-09-25T00:08:09.183469,press,char,n
2025-09-25T00:08:09.348304,press,char,g
2025-09-25T00:08:09.441813,press,char,e
2025-09-25T00:08:09.566789,press,special,Key.space
2025-09-25T00:08:09.719952,press,char,t
2025-09-25T00:08:09.820399,press,char,h
2025-09-25T00:08:10.023394,press,char,i
2025-09-25T00:08:10.095104,press,char,s
2025-09-25T00:08:10.223291,press,special,Key.space
2025-09-25T00:08:10.452689,press,char,f
2025-09-25T00:08:10.622989,press,char,i
2025-09-25T00:08:10.739619,press,char,r
2025-09-25T00:08:10.863262,press,char,s
2025-09-25T00:08:11.067821,press,char,t
2025-09-25T00:08:11.176121,press,special,Key.space
2025-09-25T00:08:11.320800,press,char,t
2025-09-25T00:08:11.404945,press,char,o
2025-09-25T00:08:11.569635,press,char,t
2025-09-25T00:08:11.620965,press,special,Key.space
2025-09-25T00:08:11.905374,press,char,h
2025-09-25T00:08:11.980889,press,char,e
2025-09-25T00:08:12.149772,press,special,Key.space
2025-09-25T00:08:13.100867,press,char,s
2025-09-25T00:08:13.314733,press,char,e
